能源用戶名稱,所在區域
國瑞汽車股份有限公司中壢工廠,桃園市中壢區
南慶紡織股份有限公司,臺南市新化區
信功實業股份有限公司屏東食品工廠,屏東縣長治鄉
宏泰電工股份有限公司南崁廠,桃園市蘆竹區
正隆股份有限公司大園廠,桃園市大園區
華新麗華股份有限公司楊梅廠,桃園市楊梅區
南亞塑膠工業股份有限公司林口二廠,新北市龜山區
良機實業股份有限公司桃園廠,桃園市蘆竹區
年興紡織股份有限公司,苗栗縣後龍鎮
維他露食品股份有限公司,臺中市西屯區
得力實業股份有限公司,臺南市新市區
英屬維京群島商太古可口可樂(股)公司臺灣分公司,高雄市燕巢鄉
廣翰實業股份有限公司,臺南市永康區
台達電子工業股份有限公司中壢廠,桃園市中壢區
周加股份有限公司,桃園市中壢區
漢磊科技股份有限公司,新竹市東區
新秀波磁能股份有限公司大溪廠,桃園市大溪區
聯合報股份有限公司台中印刷廠,臺中市西屯區
台灣電力股份有限公司興達發電廠,高雄市永安鄉
大統精密染整股份有限公司,桃園市蘆竹區
神達電腦股份有限公司,新竹縣寶山鄉
允強實業股份有限公司,彰化縣埔心鄉
台灣化學纖維股份有限公司新港廠,嘉義縣新港鄉
三夏企業股份有限公司,屏東縣萬丹鄉
台灣志氯化學股份有限公司鹼氯廠,高雄市小港區
大洋塑膠工業股份有限公司中壢廠,桃園市中壢區
旗勝科技股份有限公司,高雄市小港區
台灣神戶電池股份有限公司,臺南市官田區
新東陽股份有限公司(大園廠),桃園市大園區
永華機械工業股份有限公司,桃園市八德區
遠東新世紀股份有限公司湖口紡織廠,新竹縣香山區
台灣雙葉電子股份有限公司,高雄市楠梓區
澔鋒鑄造工業股份有限公司,高雄市小港區
瑞川鍛造廠股份有限公司,新北市瑞芳區
銓銘金屬工業股份有限公司龜山廠,桃園市龜山區
先豐通訊股份有限公司(一廠),桃園市觀音區
錦美紙業股份有限公司觀音廠,桃園市觀音區
樂山股份有限公司,桃園市龍潭區
久津實業股份有限公司,彰化縣福興鄉
三元化工股份有限公司,嘉義縣太保市
台北自來水事業處公館加壓站,臺北市大安區
禹昌企業股份有限公司工廠,彰化縣大村鄉
宏遠興業股份有限公司,臺南市山上區
台灣本田汽車股份有限公司,屏東縣屏東市
民峰實業股份有限公司,臺中市大安區
台灣菸酒股份有限公司花蓮酒廠,花蓮縣花蓮市
聯發銅業股份有限公司,苗栗縣頭份市
嬌聯股份有限公司,苗栗縣竹南鎮
中興電工機械股份有限公司,桃園市龜山區
南亞塑膠工業股份有限公司工三廠,桃園市龜山區
台揚科技股份有限公司,新竹市東區
哈林企業股份有限公司甲廠,臺中市西屯區
東培工業股份有限公司中壢廠,桃園市中壢區
錦源鑄造工業股份有限公司,桃園市觀音區
三英鋼鐵股份有限公司仁武廠,高雄市仁武鄉
和友紡織股份有限公司中壢廠,桃園市觀音區
