"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2864",2129,"A6311-0929-00","A6311-77-002","A6311-77","A6311-001-00","001","仁勇里","63000110","士林區","63000","臺北市","02","05",NA,303124.08349,2775846.43255,5428.52553,NA,NA
"2865",2325,"A6310-0157-00","A6310-01-012","A6310-01","A6310-013-00","013","金龍里","63000100","內湖區","63000","臺北市","15","05",NA,310107.74722,2775440.15039,70443.92378,NA,NA
"2866",2326,"A6311-1051-00","A6311-77-010","A6311-77","A6311-002-00","002","義信里","63000110","士林區","63000","臺北市","15","05",NA,302939.63782,2775508.45134,14466.76624,NA,NA
"2867",2327,"A6311-1038-00","A6311-78-007","A6311-78","A6311-020-00","020","社新里","63000110","士林區","63000","臺北市","03","05",NA,300955.36348,2775544.73999,6324.97062,NA,NA
"2868",2328,"A6310-0127-00","A6310-14-005","A6310-14","A6310-003-00","003","西安里","63000100","內湖區","63000","臺北市","03","12",NA,307116.63087,2775539.19759,5238.61213,NA,NA
"2869",2329,"A6310-0121-00","A6310-08-003","A6310-08","A6310-015-00","015","碧山里","63000100","內湖區","63000","臺北市","03","05",NA,309687.77752,2775542.47851,7885.28193,NA,NA
"2870",2330,"A6311-1039-00","A6311-80-007","A6311-80","A6311-009-00","009","福中里","63000110","士林區","63000","臺北市","15","05",NA,302377.02453,2775539.91752,6101.34219,NA,NA
"2871",2331,"A6311-1047-00","A6311-79-001","A6311-79","A6311-020-00","020","社新里","63000110","士林區","63000","臺北市","03","05",NA,301304.17698,2775512.45854,14674.98374,NA,NA
"2872",2332,"A6310-0133-00","A6310-13-001","A6310-13","A6310-008-00","008","港華里","63000100","內湖區","63000","臺北市","03","02",NA,307979.5298,2775501.86257,15050.62848,NA,NA
"2873",2333,"A6310-0123-00","A6310-02-009","A6310-02","A6310-003-00","003","西安里","63000100","內湖區","63000","臺北市","02","05",NA,306604.85783,2775537.78962,4516.9684,NA,NA
"2874",2334,"A6310-0113-00","A6310-06-006","A6310-06","A6310-003-00","003","西安里","63000100","內湖區","63000","臺北市","03","02",NA,306689.6336,2775566.64429,3011.16302,NA,NA
"2875",2335,"A6310-0118-00","A6310-17-001","A6310-17","A6310-003-00","003","西安里","63000100","內湖區","63000","臺北市","03","02",NA,306924.36528,2775541.45374,4206.37725,NA,NA
"2876",2336,"A6310-0116-00","A6310-06-007","A6310-06","A6310-003-00","003","西安里","63000100","內湖區","63000","臺北市","03","05",NA,306838.44227,2775553.09335,5306.03219,NA,NA
"2877",2531,"A6310-0228-00","A6310-16-007","A6310-16","A6310-009-00","009","內湖里","63000100","內湖區","63000","臺北市","02","05",NA,309836.51523,2775271.77268,5074.9433,NA,NA
"2878",2532,"A6311-1141-00","A6311-60-016","A6311-60","A6311-011-00","011","百齡里","63000110","士林區","63000","臺北市","12","05","行水區",301969.91407,2775166.03035,57797.07607,NA,NA
"2879",2533,"A6304-0040-00","A6304-03-001","A6304-03","A6304-013-00","013","劍潭里","63000040","中山區","63000","臺北市","15","02",NA,304150.96181,2775199.49694,19977.44967,NA,NA
"2880",2534,"A6304-0043-00","A6304-07-006","A6304-07","A6304-041-00","041","金泰里","63000040","中山區","63000","臺北市","15","01",NA,306477.39529,2775173.3591,62708.21813,NA,NA
"2881",2535,"A6304-0021-00","A6304-02-006","A6304-02","A6304-014-00","014","大直里","63000040","中山區","63000","臺北市","03","05",NA,305310.03361,2775295.042,4076.25112,NA,NA
